Strain,B1_req,B2_req,B3_req,B5_req,B6_req,B9_req,B12_req,Kx_req,B1_syn,B2_syn,B3_syn,B5_syn,B6_syn,B9_syn,B12_syn,Kx_syn,Cluster
Hafnia_alvei_BIDMC_31,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Halococcus_morrhuae_DSM1307,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,B5++
Helicobacter_bilis_ATCC_43879,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,B6+
Helicobacter_canadensis_MIT_98_5491,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,None
Helicobacter_cinaedi_CCUG_18818,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,B6
Helicobacter_pullorum_MIT_98_5489,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,B6
Helicobacter_pylori_26695,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,B6
Helicobacter_winghamensis_ATCC_BAA_430,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,B6
Holdemania_filiformis_VPI_J1_31B_1_DSM_12042,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,B6+
Kallipyga_massiliensis_ph2,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,B6++
Kandleria_vitulina_DSM_20405,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,B6++
Kingella_oralis_ATCC_51147,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,None
Klebsiella_oxytoca_KCTC_1686,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Klebsiella_pneumoniae_pneumoniae_MGH78578,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Klebsiella_sp_1_1_55,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Kluyvera_ascorbata_ATCC_33433,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Kocuria_palustris_PEL,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,None
